INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (87, 4479, 1, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (55, 6171, 1, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (64, 5440, 3, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (56, 5479, 1, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (95, 4353, 6, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (13, 3282, 3, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (100, 1242, 5, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (35, 3182, 5, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (81, 6177, 5, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (98, 4273, 3, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (17, 1423, 3, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (15, 1166, 5, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (77, 3220, 2, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (86, 6138, 6, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (24, 5367, 4, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (88, 1256, 4, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (89, 2234, 1, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (20, 3163, 2, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (75, 1448, 5, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (68, 2292, 1, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (90, 2483, 6, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (70, 4248, 4, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (13, 4347, 5, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (100, 1229, 3, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (82, 1454, 3, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (66, 3394, 3, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (17, 3247, 6, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (23, 6435, 2, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (40, 4281, 1, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (21, 2230, 4, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (57, 6142, 5, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (66, 4462, 6, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (8, 3366, 4, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (24, 3352, 2, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (6, 5222, 6, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (37, 2283, 4, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (91, 1187, 1, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (7, 2257, 6, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (19, 6288, 4, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (84, 3445, 1, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (63, 4382, 4, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (90, 4394, 5, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (44, 5399, 2, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (19, 4141, 5, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (57, 2152, 5, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (16, 1222, 5, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (39, 1244, 2, 'Лаборатория');
