INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (97, '2018-06-23', 5, 24, 32, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (83, '2018-06-25', 14, 50, 18, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (41, '2018-06-20', 13, 29, 34, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (12, '2019-06-21', 14, 32, 25, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (23, '2018-06-24', 25, 5, 18, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (72, '2020-06-19', 32, 9, 34, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (67, '2020-06-19', 11, 14, 46, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (62, '2020-06-26', 15, 36, 43, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (49, '2018-06-22', 23, 47, 10, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (44, '2020-06-23', 6, 15, 46, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (16, '2019-06-30', 5, 50, 52, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (102, '2019-06-22', 28, 24, 16, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (12, '2019-06-17', 22, 20, 36, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (99, '2020-06-22', 18, 46, 2, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (97, '2018-06-24', 2, 35, 44, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (95, '2020-06-25', 32, 12, 51, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (70, '2018-06-19', 36, 20, 40, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (24, '2020-06-24', 25, 32, 47, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (17, '2018-06-30', 33, 50, 13, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (79, '2019-06-29', 33, 37, 18, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (47, '2018-06-16', 20, 36, 19, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (0, '2018-06-27', 29, 1, 6, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (43, '2020-06-21', 3, 28, 25, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (52, '2020-06-20', 29, 9, 20, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (6, '2019-06-18', 11, 39, 49, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (74, '2018-06-29', 23, 48, 43, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (39, '2020-06-23', 34, 16, 37, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (17, '2020-06-17', 32, 46, 54, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (12, '2018-06-29', 9, 18, 52, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (96, '2020-06-27', 36, 35, 30, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (94, '2018-06-17', 5, 48, 11, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (27, '2018-06-23', 6, 35, 3, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (58, '2019-06-26', 19, 3, 32, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (96, '2020-06-25', 17, 10, 10, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (15, '2020-06-22', 35, 45, 42, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (102, '2018-06-17', 7, 16, 31, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (12, '2019-06-24', 32, 40, 18, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (53, '2018-06-22', 32, 5, 15, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (94, '2019-06-26', 26, 6, 13, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (47, '2019-06-27', 10, 3, 17, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (33, '2020-06-23', 28, 31, 20, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (86, '2019-06-27', 23, 23, 52, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (46, '2018-06-18', 12, 29, 55, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (39, '2020-06-24', 33, 39, 43, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (51, '2018-06-18', 25, 16, 38, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (58, '2020-06-23', 14, 39, 9, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (94, '2018-06-21', 2, 39, 6, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (46, '2020-06-18', 3, 14, 34, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (14, '2019-06-24', 14, 25, 25, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (43, '2019-06-27', 30, 15, 60, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (60, '2019-06-23', 11, 29, 60, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (9, '2020-06-28', 35, 20, 42, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (88, '2019-06-22', 6, 10, 6, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (34, '2019-06-24', 13, 2, 39, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (78, '2018-06-16', 33, 6, 44, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (24, '2020-06-17', 29, 44, 30, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (46, '2020-06-25', 20, 49, 21, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (42, '2018-06-25', 13, 10, 58, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (5, '2020-06-21', 3, 42, 26, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (29, '2020-06-26', 33, 22, 4, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (66, '2018-06-29', 26, 29, 57, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (78, '2018-06-26', 33, 18, 16, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (67, '2020-06-29', 10, 35, 6, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (7, '2018-06-16', 29, 40, 30, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (93, '2018-06-29', 1, 28, 30, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (56, '2018-06-17', 31, 2, 20, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (85, '2018-06-18', 19, 32, 15, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (35, '2018-06-26', 13, 26, 18, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (83, '2019-06-23', 6, 25, 10, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (102, '2018-06-27', 33, 50, 15, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (71, '2018-06-24', 15, 17, 43, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (10, '2020-06-26', 24, 3, 31, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (20, '2019-06-28', 31, 1, 33, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (53, '2019-06-21', 24, 29, 36, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (88, '2019-06-29', 24, 44, 10, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (43, '2020-06-19', 27, 40, 12, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (40, '2018-06-28', 30, 50, 24, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (17, '2018-06-25', 29, 18, 15, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (17, '2019-06-29', 1, 38, 60, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (100, '2019-06-24', 13, 10, 29, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (56, '2020-06-26', 20, 33, 23, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (49, '2018-06-22', 21, 49, 16, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (12, '2020-06-22', 20, 2, 36, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (97, '2020-06-29', 24, 11, 44, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (54, '2020-06-26', 26, 16, 32, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (91, '2018-06-22', 4, 29, 57, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (22, '2020-06-30', 14, 32, 56, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (61, '2018-06-23', 1, 43, 17, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (12, '2020-06-20', 21, 28, 8, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (39, '2019-06-23', 25, 9, 40, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (24, '2019-06-30', 26, 25, 32, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (72, '2020-06-28', 34, 8, 23, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (18, '2019-06-25', 15, 11, 5, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (85, '2019-06-22', 5, 45, 34, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (39, '2018-06-22', 6, 3, 29, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (15, '2018-06-29', 2, 38, 36, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (86, '2019-06-27', 35, 37, 24, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (58, '2020-06-25', 18, 18, 57, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (82, '2018-06-16', 11, 33, 18, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (50, '2019-06-29', 10, 28, 52, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (67, '2019-06-16', 16, 24, 58, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (62, '2020-06-18', 11, 21, 47, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (61, '2020-06-24', 12, 18, 30, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (4, '2019-06-23', 29, 14, 12, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (68, '2020-06-26', 25, 50, 19, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (9, '2019-06-21', 17, 28, 7, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (46, '2020-06-27', 21, 24, 43, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (2, '2019-06-21', 8, 37, 6, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (67, '2020-06-25', 13, 32, 10, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (18, '2019-06-17', 33, 49, 46, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (54, '2020-06-16', 5, 41, 17, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (37, '2020-06-17', 17, 10, 46, 1);
